Rank,Name,Symbol,marketcap,price (USD),country,Sector
282,Lufthansa,LHA.DE,8166996864,6.81549,Germany, Industrials
283,Trelleborg AB,TREL-B.ST,8135120554,34.6162,Sweden, Industrials
284,Beijer Ref,BEIJ-B.ST,8109418425,15.9979,Sweden, Industrials
285,Eurobank Ergasias Services and Holdings,EUROB.AT,8099997360,2.20425,Greece, Finance
286,Sofina,SOF.VI,7960781175,240.267,Belgium, Finance
287,Randstad,RAND.AS,7958975123,45.4438,Netherlands, Industrials
288,Metso,METSO.HE,7951045280,9.6107,Finland, Industrials
289,UnipolSai Assicurazioni,US.MI,7910283984,2.79651,Italy, Finance
290,Edenred,EDEN.PA,7884638223,32.4383,France, Industrials
291,Davide Campari-Milano,CPR.MI,7859216564,6.53079,Italy, Consumer Staples
292,Française des Jeux,FDJ.VI,7848778898,42.4674,France, Consumer Discretionary
293,Buzzi Unicem,BZU.MI,7838835950,43.287,Italy, Basic Materials
294,Autoliv,ALV,7784605184,98.85,Sweden, Consumer Discretionary
295,Gecina,GFC.PA,7727840224,104.497,France, Real Estate
296,Nexi,NEXI.MI,7672549414,6.23962,Italy, Technology
297,Addtech AB,ADDT-B.ST,7648945106,28.3495,Sweden, Industrials
298,Zalando,ZAL.DE,7587616935,29.1276,Germany, Consumer Discretionary
299,Securitas AB,SECU-B.ST,7573333755,13.2189,Sweden, Industrials
300,Ascendis Pharma,ASND,7559391744,126.495,Denmark, Health Care
301,Elisa,ELISA.HE,7530195967,46.9104,Finland, Telecommunications
302,National Bank of Greece,ETE.AT,7401171194,8.12035,Greece, Finance
303,Bankinter,BKT.MC,7361280138,8.19152,Spain, Finance
304,Banco Comercial Português (Millennium bcp),BCP.LS,7344299053,0.485927,Portugal, Finance
305,PUMA,PUM.DE,7339948737,49.1858,Germany, Consumer Discretionary
306,Banca Monte dei Paschi di Siena,BMPS.MI,7324758797,5.81473,Italy, Finance
307,Grifols,GRFS,7298410496,9.66,Spain, Health Care
308,KGHM Polska Miedź,KGH.WA,7294650577,36.4733,Poland, Basic Materials
309,Jazz Pharmaceuticals,JAZZ,7257574912,120.05,Ireland, Health Care
310,CTP N.V.,CTPNV.AS,7184541029,15.8309,Netherlands, Real Estate
311,Tele2,TEL2-A.ST,7118471605,10.258,Sweden, Telecommunications
312,Compagnie de l'Odet,ODET.PA,7112646798,1677.99,France, Industrials
313,Financière de Tubize,TUB.BR,7095389643,158.093,Belgium, Finance
314,Ternium,TX,6945592832,35.3811,Luxembourg, Basic Materials
315,A2A,A2A.MI,6925984618,2.21072,Italy, Utilities
316,LEG Immobilien,LEG.DE,6924184639,92.958,Germany, Real Estate
317,AAK,AAK.ST,6893624570,26.559,Sweden, Consumer Staples
318,Elia Group,ELI.BR,6887863173,93.7129,Belgium, Utilities
